Model,Dataset,MSE,RMSE,MAE,MAPE,R2,Directional_Accuracy
Naive Baseline,Validation Set,24.548778748955215,4.954672415907556,3.7439700739170476,1.359295403212137,0.977923832850327,
Naive Baseline,Test Set,39.608227651812705,6.293506784918302,4.390737211549437,1.0333030422581708,0.9812755482540875,
PatchTST,Validation Set,26.514460906686594,5.149219446351708,3.889026697670541,1.414452227974892,0.9761561388920662,49.5114006514658
PatchTST,Test Set,40.471420508061,6.361715217459911,4.50875423480938,1.0609852467496501,0.98086748119473,47.564935064935064
