Model,Dataset,MSE,RMSE,MAE,MAPE,R2,Directional_Accuracy
Naive Baseline,Validation Set,24.54878044128418,4.954672586688669,3.743971586227417,1.3592958450317383,0.9779238104820251,0.16260162601626016
Naive Baseline,Test Set,39.60824966430664,6.293508533743848,4.390738010406494,1.033303141593933,0.9812755584716797,0.0
LSTM,Validation Set,333.5523376464844,18.263415278815852,15.321479797363281,5.211174011230469,0.7000438570976257,51.056910569105696
LSTM,Test Set,8556.4072265625,92.50084986940661,86.76908874511719,19.61002540588379,-3.044968605041504,46.91558441558442
GRU,Validation Set,81.89679718017578,9.04968492159676,7.4619927406311035,2.656245708465576,0.9263520240783691,49.43089430894309
GRU,Test Set,1195.5980224609375,34.57742070283638,30.74734878540039,6.889078140258789,0.4347912669181824,47.4025974025974
