ModelFamily,CandidateName,PATCHTST_INPUT_MODE,forecasting_protocol,training_protocol,input_mode_note,input_size,patch_len,stride,hidden_size,n_heads,learning_rate,max_steps,batch_size,val_MSE,val_RMSE,val_MAE,val_MAPE,val_R2,val_Directional_Accuracy,is_selected_final
PatchTST,A,Close-only univariate,rolling_one_step_ahead,selected_on_train_to_val_then_refit_train_val_for_test,OHLCV historical exogenous path failed; fell back to Close-only. Reason: Exception: PatchTST does not support historical exogenous variables.,60,12,12,64,4,0.001,500,64,27.996667765339126,5.291187746181298,3.986223968257749,1.4527325148509533,0.9748232234465923,48.85993485342019,False
PatchTST,B,Close-only univariate,rolling_one_step_ahead,selected_on_train_to_val_then_refit_train_val_for_test,OHLCV historical exogenous path failed; fell back to Close-only. Reason: Exception: PatchTST does not support historical exogenous variables.,60,10,10,64,4,0.001,500,64,28.79886191076546,5.3664571097480565,4.061862753271088,1.4807661978685391,0.9741018282105187,47.55700325732899,False
PatchTST,C,Close-only univariate,rolling_one_step_ahead,selected_on_train_to_val_then_refit_train_val_for_test,OHLCV historical exogenous path failed; fell back to Close-only. Reason: Exception: PatchTST does not support historical exogenous variables.,60,12,6,64,4,0.0005,500,64,26.514460906686594,5.149219446351708,3.889026697670541,1.414452227974892,0.9761561388920662,49.5114006514658,True
