Feature,train_min,train_max,val_min,val_max,test_min,test_max,val_outside_0_1,test_outside_0_1
Open,0.0,1.0000000000000002,0.8301782377802327,1.4410528806210474,1.4156379878891774,2.2877232673827637,True,True
High,0.0,1.0,0.8366923660555917,1.453329573940691,1.438529500921502,2.2753099547860423,True,True
Low,0.0,1.0,0.8182647172166833,1.4171848157786369,1.3978678700803728,2.2422669803415145,True,True
Close,0.0,0.9999999999999999,0.8154670606497176,1.4296548541777958,1.429334763592812,2.232369678679413,True,True
Volume,0.0,1.0,0.005691708323674549,0.2661280833159395,-0.005032827036768783,0.38933215087387535,False,True
